Run,OK,RMSE_Pn,RMSE_Pe,RMSE_Pd,RMSE_u,RMSE_v,RMSE_w,RMSE_phi,RMSE_theta,RMSE_psi,RMSE_p,RMSE_q,RMSE_r
35,1,0.000273442579329957,0.0227982174191483,2.80148246346395e-06,7.11694917413424e-05,2.60623699836858e-09,6.03552853485578e-10,0.00138886087143953,7.72249309127612e-06,1.55407344025857e-09,9.40570552045346e-11,2.66896872261915e-06,3.92991227409807e-09
36,1,9.13121509736703e-05,0.0227982178809081,2.80149012293318e-06,2.3652067767685e-05,2.02706086474646e-09,2.09327076504627e-10,0.00138886085988564,7.42884275317798e-06,5.038295245307e-10,6.4464369706557e-11,8.72621649980883e-07,1.2719037124217e-09
37,1,8.55306970460726e-05,0.0227982165718789,2.80149300743563e-06,2.3426310511587e-05,3.78896812662847e-09,1.44226142092378e-10,0.00138886090163231,6.6402933404238e-06,5.00447500484172e-10,1.27979367989062e-10,8.65814228545948e-07,1.26290081346095e-09
38,1,6.50993282826947e-05,0.0227982109989368,2.80149186526005e-06,1.60465131261788e-05,1.13765216623861e-08,1.12096280871029e-10,0.00138886108753367,7.03522526814074e-06,3.45819739797352e-10,3.7461989599244e-10,5.87666624378012e-07,8.78433706242858e-10
39,1,7.22681258851112e-05,0.0227982189722173,2.80149161430168e-06,1.77945965320151e-05,5.4927392367207e-10,1.31520326865444e-10,0.00138886082388798,7.12650532074774e-06,3.89080908443226e-10,1.68241702505817e-11,6.64262355218893e-07,9.8546364550969e-10
40,1,0.000195847312923862,0.0227982162418921,2.80148810889859e-06,5.20608474591276e-05,4.22022037582946e-09,3.83287055100262e-10,0.00138886091143632,7.09776627405659e-06,1.12405452212907e-09,1.45437809438325e-10,1.93957108398852e-06,2.83897232819718e-09
41,1,5.38920887472351e-05,0.0227982192354577,2.80149359503526e-06,1.60808481275111e-05,1.77932852798644e-10,9.21701748881306e-11,0.00138886081398411,6.6029382074539e-06,3.23947026335017e-10,8.70577201085361e-12,5.65827344098218e-07,8.15960466808235e-10
42,1,8.87680442631957e-05,0.0227982189056511,2.80149298827196e-06,2.40656229701465e-05,6.17895339382252e-10,1.49298003857717e-10,0.00138886082439498,6.65229107217338e-06,5.17544314344087e-10,2.34895859117754e-11,8.94185006668581e-07,1.30691823126182e-09
43,1,0.000129737774193936,0.0227982193610538,2.80149123480326e-06,3.98358208499581e-05,3.00072437421654e-11,2.35561464412976e-10,0.00138886080959997,6.68730449232329e-06,7.65883477267057e-10,6.3989391448417e-12,1.34489384007084e-06,1.9267492767888e-09
44,1,0.00018812175444973,0.0227982159232511,2.80148768074497e-06,5.43168293981564e-05,4.66942711760225e-09,4.1275442147042e-10,0.00138886092269042,7.06231008953226e-06,1.09671982483886e-09,1.60691640324144e-10,1.91493569873772e-06,2.76210600784496e-09
45,1,6.99812046628792e-05,0.0227982186660906,2.8014914134416e-06,1.74930385925916e-05,9.61039753236008e-10,1.37566158563694e-10,0.00138886083383704,7.18961182201432e-06,3.7993283548287e-10,3.01050777379758e-11,6.5434637322894e-07,9.60340622729916e-10
46,1,0.000204422224303337,0.022798219483195,2.80148741681038e-06,5.48368904599212e-05,1.80804083967879e-10,4.12506619184922e-10,0.00138886080429059,7.16306016012279e-06,1.17535109808371e-09,4.46753048061195e-12,2.03246946813947e-06,2.9676356742919e-09
47,1,0.000170075366054342,0.0227982191545039,2.80148981705365e-06,4.50998920878764e-05,2.70842467911735e-10,3.11703837317606e-10,0.00138886081533009,6.93731654646544e-06,9.76608354808645e-10,1.45661731492709e-11,1.68392886023351e-06,2.46747076926728e-09
48,1,8.12612200755321e-05,0.0227982149587466,2.80149057544827e-06,2.10180877885777e-05,5.99461773941243e-09,1.83506050789595e-10,0.00138886095641207,7.34290169199921e-06,4.46552327181116e-10,1.95856870517577e-10,7.74131943947201e-07,1.12763568519931e-09
49,1,0.000499299703731613,0.0227982205599175,2.80145431514842e-06,0.00013038042105059,1.49193729731878e-09,1.397239569312e-09,0.0013888607782479,1.08569472228812e-05,2.72971168729832e-09,6.0762588724181e-11,4.59612779100666e-06,6.93601302955011e-09
50,1,0.000216585776327249,0.0227982170994433,2.80148174009743e-06,5.49951054793926e-05,3.10939950901187e-09,5.60082654044461e-10,0.00138886088737071,8.52154327977169e-06,1.20262180187216e-09,9.70471161350091e-11,2.06252317213604e-06,3.0428967305341e-09
