Run,Converged,RMSE_X_Pos,RMSE_Vx_Vel,RMSE_Z_Pos,RMSE_Y_Pos,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
75,1,NaN,10.3527175621371,0.000306602566065673,150.052195806714,1.69568257501097e-13,5.86342489188145e-08,3.96119235799434e-13
76,1,NaN,10.349838653901,0.000848860597688858,145.160544351184,1.32818152373069e-07,5.63606917834504e-08,3.07521423221873e-07
77,1,NaN,10.3522573075374,0.000406736354093036,203.241371647334,8.789808504949e-12,5.80032034441063e-08,2.07407312293523e-11
78,1,NaN,10.3531448742323,0.000235855138504121,103.827943364509,9.23822435973575e-16,5.86348973786523e-08,2.3798068756068e-15
79,1,NaN,10.3549353559386,4.88426653352579e-05,5.5978483035414,1.70703368653949e-17,5.87252352044412e-08,9.91706050188326e-16
80,1,NaN,10.3522005112969,0.000340998518415029,135.637267018679,1.58258929273306e-11,5.86893961862578e-08,3.7365118438818e-11
81,1,NaN,10.3527463693418,0.000275574286223647,117.60529843426,1.48046733364196e-13,5.85851044612028e-08,3.45536749692976e-13
82,1,NaN,10.3431555790005,0.00905383589081607,341.200306486803,4.24656513968368e-05,5.54435417782217e-08,6.8955731068506e-05
83,1,NaN,10.3528303753906,0.00029567634187224,124.997985344575,3.86731682326463e-14,5.86040419138557e-08,9.00663716340483e-14
84,1,NaN,10.3531903232348,0.000268472424993467,113.784492881615,8.49219053254081e-17,5.87494900804798e-08,9.54544691245844e-16
85,1,NaN,10.3553162652136,4.48772689525691e-05,5.49398189668507,1.62072527746326e-17,5.87825891966782e-08,9.02010368963224e-16
86,1,NaN,10.3535827300719,0.000175792108497715,164.082145684453,2.14702327914629e-16,5.87481373693729e-08,1.06646533128222e-15
87,1,NaN,10.3528031856822,0.000231566228797625,131.720479750662,7.15461081809416e-14,5.85977159749388e-08,1.6666915282574e-13
88,1,NaN,10.3521713843115,0.000368478146269737,185.726515196165,1.78665130524635e-11,5.85393374134006e-08,4.22042539324473e-11
89,1,NaN,10.3536900606494,0.000141016939153771,75.6073673467665,1.69077811743045e-17,5.86539572210645e-08,9.16446705989918e-16
90,1,NaN,10.3529280891501,0.000320747792264592,99.8249750670115,2.15473807621008e-14,5.87071957756528e-08,5.00420136217844e-14
91,1,NaN,10.3547287258007,9.62150397964633e-05,36.8464439962399,1.67117770288066e-17,5.87638202055579e-08,9.42623598637204e-16
92,1,NaN,10.3505499929423,0.000409440669922936,163.764019581854,2.59214016662635e-08,5.89970734815863e-08,6.09360107401758e-08
93,1,NaN,10.3553303255823,3.81801187803324e-05,12.6380283495649,1.66080554612176e-17,5.87639292593366e-08,9.66851447032948e-16
94,1,NaN,10.3547226957893,8.15805482737138e-05,17.4139286201197,1.68086375859084e-17,5.88062074461337e-08,9.52149314754904e-16
95,1,NaN,10.3542037592711,7.7011820576856e-05,33.3889252775852,1.58801467393976e-17,5.86760355056698e-08,9.50053882019364e-16
96,1,NaN,10.3521810070631,0.000733927102771029,180.539051303261,1.20367022818954e-11,5.86312421940962e-08,2.84623306928705e-11
97,1,NaN,10.3533537437069,0.000177762859862802,78.4531519972331,5.18790564307286e-17,5.87214186959401e-08,1.02283714417866e-15
98,1,NaN,10.3530279492379,0.000255608234317564,101.947458357715,2.73617593521363e-15,5.81792952947056e-08,6.41041237189141e-15
99,1,NaN,10.353282606012,0.000214184514977211,141.994802919019,1.20219275152712e-15,5.86661835948909e-08,2.92669433818965e-15
100,1,NaN,10.3470745904575,0.00463840518269811,36.6319629516444,3.85933641797085e-06,5.09066965814566e-08,8.08134607294347e-06
