Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
66,1,3.83415111057649e-05,1.37099718127671e-12,0.022798584142605,4.18163331567956e-09,4.0428715144291e-07,5.69220449951402e-10
67,1,3.20290067048885e-06,1.35404029920458e-14,0.0227985841534729,4.18409448682829e-09,2.41247862882366e-08,7.23615113702726e-11
68,1,6.33500098659763e-06,4.87829561636241e-14,0.022798584155282,4.18384992720631e-09,5.81557027347201e-08,1.04984140371765e-10
69,1,0.0228084116440535,4.51615145789799e-07,0.022798541952144,4.49120033329891e-09,0.000231245877296739,3.30401108844443e-07
70,1,2.61467916602897e-06,6.2899610156177e-15,0.0227985841529168,4.18636983259331e-09,1.92949912323949e-08,6.85589988854796e-11
71,1,8.30933443529074e-05,5.47891178623253e-12,0.0227985841626674,4.17928174044375e-09,8.17979869662351e-07,1.19370678640245e-09
72,1,2.06521779767693e-06,9.02194303050973e-15,0.0227985841526114,4.18290290688827e-09,1.51214535955938e-08,6.56534806271325e-11
73,1,0.000192361406598736,2.10557304073988e-11,0.022798584141715,4.18562705439118e-09,1.75443208320945e-06,2.66927540341249e-09
74,1,7.32662929115317e-07,1.76129945212195e-15,0.022798584152298,4.17745640929418e-09,5.93130332199718e-09,6.09867861908486e-11
75,1,2.97669312325687e-05,8.35405552505974e-13,0.0227985841604386,4.18184412426397e-09,3.17383905116476e-07,4.45027287175272e-10
76,1,2.31662455645135e-06,5.27252344160208e-15,0.0227985841527613,4.18330235238054e-09,1.75312247474865e-08,6.70583384722431e-11
77,1,7.16275834442099e-07,1.76104533263086e-15,0.022798584152333,4.18224658697881e-09,5.71146300411924e-09,6.11164227184997e-11
78,1,2.25477592387893e-06,7.02357126840542e-15,0.0227985841525509,4.18269001298074e-09,1.68545783491663e-08,6.67083358101028e-11
79,1,3.7623334500626e-07,3.50804297153192e-15,0.0227985841521972,4.18465111702501e-09,3.07323525956901e-09,6.06334107156491e-11
80,1,1.32085809450663e-07,7.105427357601e-15,0.0227985841522045,4.1843561138158e-09,1.06348175495979e-09,6.04138779037103e-11
81,1,1.09604266098567e-05,1.21159812606938e-13,0.0227985841478783,4.18641248323105e-09,1.13846035237735e-07,1.69765495253313e-10
82,1,9.71049778781312e-08,7.105427357601e-15,0.0227985841525288,4.18218357196618e-09,7.10515826273431e-10,6.03593057434583e-11
83,1,1.54258494886362e-06,8.82105185449186e-15,0.0227985841521203,4.18207971125268e-09,1.23430563592487e-08,6.35269987899776e-11
84,1,3.22343568813835e-06,9.43574395539372e-15,0.0227985841515407,4.17861249460649e-09,2.36207841284144e-08,7.25488418029282e-11
85,1,0.000454894351792494,5.61815106058983e-11,0.02279858417236,4.18282095395522e-09,3.72708524815227e-06,6.01465728159283e-09
86,1,4.49810495714934e-05,1.73218107782388e-12,0.0227985841594785,4.17945009270812e-09,4.54261207576624e-07,6.56508750619841e-10
87,1,5.28501692124782e-07,0,0.0227985841523581,4.1817911747071e-09,4.10100205884808e-09,6.0780487321073e-11
88,1,5.89704727126975e-07,1.77635683940025e-15,0.0227985841522838,4.18237698253721e-09,4.81542506612417e-09,6.08076641666231e-11
89,1,115.587220642106,0.157153669341168,0.0134443713925646,0.000343806705916294,0.512430693899751,0.00018879060197346
90,1,2.81567380614844e-06,5.6454743096628e-15,0.0227985841531402,4.18305425122306e-09,2.05985545782984e-08,6.98331772866364e-11
91,1,0.00111987832599113,6.96429287308985e-10,0.0227985842581951,4.14197088388152e-09,8.31726921057475e-06,1.41402184890719e-08
92,1,0.000352027294426174,5.13208027359628e-11,0.0227985841486377,4.18293589021081e-09,3.05655886109485e-06,4.7758935033692e-09
93,1,9.98785821234553e-07,8.77457093904638e-15,0.0227985841523551,4.18224803111074e-09,8.10827048741816e-09,6.18371888192163e-11
94,1,1.5909099176513e-06,1.77978426493777e-15,0.022798584151961,4.18261748754995e-09,1.20445340727739e-08,6.37287013663847e-11
95,1,1.58382614689704e-05,2.4174111217149e-13,0.0227985841582644,4.18200752667614e-09,1.68209894387022e-07,2.38841583915277e-10
96,1,8.8849338484783e-06,8.25288526327338e-14,0.0227985841485215,4.19006383901587e-09,9.07999752834728e-08,1.39839847855758e-10
97,1,3.3779231471158e-06,1.16874325546994e-14,0.0227985841532482,4.18355785109142e-09,2.48666959381066e-08,7.35187510676805e-11
98,1,6.71656597511872e-05,4.04595760845907e-12,0.0227985841381411,4.18211068056683e-09,6.9183701786573e-07,9.84646048682378e-10
99,1,1.46912167839776e-06,1.79607227435624e-15,0.0227985841525719,4.17878995387077e-09,1.11423181228619e-08,6.30850823497603e-11
100,1,2.13296401608196e-06,1.7616817532669e-15,0.022798584152699,4.17937587436622e-09,1.63671987253047e-08,6.61451804658134e-11
